"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"NEW JERSEY",208.0817015621,3.21040980993476,15.9846977949199,71.4372308756112,117.449363081634,1404.90227332935,215.883221904424,1065.12641830517,123.892633119755
"NEW MEXICO",869.569551811811,8.28778840001613,67.3443717695705,139.338101380114,654.59929026211,3543.35266457743,787.357822688273,2245.19365837716,510.801183511994
"NEW YORK",351.245454926866,2.88044951307902,33.6832408631412,93.3142503339819,221.367514216663,1440.44235152246,159.338156489506,1213.79332770761,67.3108673253441
"NORTH CAROLINA",379.237976271425,6.01806543502954,26.3176165099477,78.1552093143552,268.747085012092,2530.13930567079,609.323995016862,1748.9361304388,171.87918021513
"NORTH DAKOTA",280.699595716258,2.37002672835939,52.2631892508159,20.7958046693313,205.270575067752,2040.34148285836,358.465949432615,1448.31149543142,233.564037994326
"OHIO",302.184677610858,5.36669369105187,49.2394541392522,83.2322767277585,164.346253052795,2231.14318629439,436.907818109728,1615.50911871093,178.726249473735
"OKLAHOMA",467.314011812586,5.24107043875111,58.4898910676647,70.9235091723328,332.659541133837,2878.8872768932,682.189934964246,1858.85629314905,337.841048779908
"OREGON",286.100309751156,1.98937930244736,47.4641499249172,59.7534689572321,176.893311566559,2907.3951478842,391.619073726668,2117.90119694271,397.874877214826
"PENNSYLVANIA",306.856034963169,6.14025635603313,35.1083592833405,77.1252815105066,188.482137813289,1491.38947259934,212.163818330661,1176.50764471444,102.718009554239
"PUERTO RICO",200.83545295014,19.9990422993828,6.19688634628764,71.0764085475719,103.563115756898,777.771831270678,171.697568160273,490.054779849353,116.019483261052
"RHODE ISLAND",219.139991393293,1.51326709637147,45.4925920846673,42.9389538595404,129.195178352714,1660.90521746121,265.767533800239,1250.33693837693,144.800745284045
"SOUTH CAROLINA",490.425636124738,7.84364860018393,48.3232800122634,70.2766074828722,363.982100029419,3029.76499109536,582.650050787594,2162.46970720646,284.645233101303
"SOUTH DAKOTA",398.066178474651,1.4474707859555,70.0185169444366,25.2640442219688,301.33614652229,1716.2717596969,281.869633083841,1269.02721571245,165.374910900605
"TENNESSEE",624.265752249315,7.3626398107455,41.7042424070479,106.305942279597,468.892927751925,2827.76153563641,489.787099806878,2035.81675651879,302.157679310741
"TEXAS",417.863264134542,4.6976860669075,52.100310164755,100.243252334805,260.822015568074,2405.01938404827,417.182881667108,1740.51033201948,247.326170361679
"UTAH",234.674591965531,1.93237919222524,56.1008958256783,38.9955834585523,137.645733489075,2387.55221895869,317.177422702902,1824.1124462008,246.262350054994
"VERMONT",171.962592946819,1.59668145725923,45.82475782334,11.1767702008146,113.364383465405,1283.09321905352,234.233169779929,1008.46400840493,40.3960408686586
"VIRGINIA",200.224189989245,4.59912807658178,34.3704591651999,42.3724786553275,118.882124092136,1667.41274056591,183.055270423529,1357.6838752306,126.673594911787
"WASHINGTON",315.406077208087,3.17624569036906,45.9970100782293,74.6065453611675,191.626276078321,2985.98834740841,540.575070610498,2072.70880296145,372.704473836468
"WEST VIRGINIA",309.340031612842,4.12208546003044,39.5654920380244,20.3655336205416,245.286920494246,1524.40589363542,328.65468194885,1071.08966356676,124.661548119813
"WISCONSIN",300.259500259266,3.0765053734301,39.2236986013033,61.0442634917011,196.915032792831,1582.45960531224,246.259016397987,1185.18268161052,151.017907303732
"WYOMING",210.377700581363,2.40068093179607,46.2374122782991,8.96797079223201,152.771636579036,1876.39035447459,272.968447411855,1463.39608604806,140.025821014678
