"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"110",2001,"COLORADO",350.7,3.6,80.5,222.9,3868.2,645.9,2747.1,475.2
"111",2001,"CONNECTICUT",335.5,3.1,122.1,191.7,2782.4,501,1920,361.4
"112",2001,"DELAWARE",611.4,2.9,145.2,410.6,3441.4,646.1,2446.2,349
"113",2001,"DISTRICT OF COLUMBIA",1736.7,40.6,689.6,973.7,5972.8,876.3,3755.2,1341.3
"114",2001,"FLORIDA",797.2,5.3,200.5,550.9,4772.5,1073.7,3150.4,548.4
"115",2001,"GEORGIA",497,7.1,171.8,292.1,4149.3,856.4,2844.5,448.3
"116",2001,"HAWAII",254.6,2.6,93.3,125.3,5131.5,911.6,3669.2,550.7
"117",2001,"IDAHO",243.1,2.3,18.5,190.1,2890.3,568.3,2141.2,180.8
"118",2001,"ILLINOIS",636.9,7.9,199.2,398.3,3460.8,631.6,2438.3,390.8
"119",2001,"INDIANA",371.8,6.8,117.3,219.7,3459.6,699.3,2408.8,351.6
"120",2001,"IOWA",269.1,1.7,39.5,205.7,3032.1,577.6,2266.2,188.3
"121",2001,"KANSAS",404.8,3.4,89.9,276.4,3916.6,761.3,2858.9,296.3
"122",2001,"KENTUCKY",257,4.7,80.7,143.8,2681.1,651.9,1799.3,229.8
"123",2001,"LOUISIANA",687,11.2,176.1,468.3,4651.1,1040.2,3125.2,485.7
"124",2001,"MAINE",111.5,1.4,20.5,64.2,2576.7,536.1,1910.7,129.9
"125",2001,"MARYLAND",783,8.3,251.6,496.1,4083.8,773.1,2715,595.8
"126",2001,"MASSACHUSETTS",479.5,2.3,101.5,346.6,2619.1,508.4,1674.5,436.2
"127",2001,"MICHIGAN",554.7,6.7,129.5,365.8,3526.8,721,2269.2,536.6
"128",2001,"MINNESOTA",264.4,2.4,75.6,141.4,3319.3,512.8,2504.3,302.3
"129",2001,"MISSISSIPPI",350.1,9.9,115.3,184.8,3835.1,1043.4,2460.3,331.5
"130",2001,"MISSOURI",541.3,6.6,138,372.1,4234.9,763.4,2973.9,497.6
"131",2001,"MONTANA",352.4,3.8,25.4,302.4,3336.3,405.8,2729.2,201.3
"132",2001,"NEBRASKA",304.3,2.5,65.8,210.8,4025.3,569.7,3076.8,378.8
"133",2001,"NEVADA",586.8,8.5,234.2,302.2,3679.2,840.9,2140.1,698.1
"134",2001,"NEW HAMPSHIRE",170.3,1.4,35.3,97.2,2151.3,388.3,1593.1,170
"135",2001,"NEW JERSEY",390.1,4,166.3,204.7,2835.2,551.7,1839,444.4
"136",2001,"NEW MEXICO",781.1,5.4,147.3,581.9,4542.8,1068.9,3083.7,390.2
"137",2001,"NEW YORK",516,5,192.3,300,2409.1,422.9,1732.2,254
"138",2001,"NORTH CAROLINA",494.3,6.2,162.5,300.2,4443.7,1244.6,2898,301.1
"139",2001,"NORTH DAKOTA",79.6,1.1,9.5,43.2,2338.1,341.2,1825.7,171.2
"140",2001,"OHIO",351.9,4,151.2,157.4,3825.7,852.1,2602.3,371.3
"141",2001,"OKLAHOMA",512.3,5.3,79.4,384.6,4094.7,999.2,2732.2,363.3
"142",2001,"OREGON",306.7,2.4,79.2,191.3,4737.4,767.3,3542.7,427.4
"143",2001,"PENNSYLVANIA",410.4,5.3,142.4,234.5,2550.7,442.3,1817.8,290.7
"144",2001,"PUERTO RICO",297,19.4,208.3,64.4,1529.1,519.1,680.8,329.3
"145",2001,"RHODE ISLAND",309.6,3.7,93.1,173.5,3375.3,644.4,2254.7,476.2
