"","Year","State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"98",1999,"MINNESOTA","R","Y",1,907,"18","34",570,14781,4593,9095,1093
"99",1999,"MISSISSIPPI","M","Y",0.751,3696,"74","1683",1481,46038,10886,29643,5509
"100",1999,"MISSISSIPPI","M","N",1,4080,"85","1783",1677,52593,13057,33604,5932
"101",1999,"MISSISSIPPI","O","Y",0.73,2571,"47","797",1438,29740,6880,18120,4740
"102",1999,"MISSISSIPPI","O","N",1,3520,"64","1091",1969,40715,9419,24807,6489
"103",1999,"MISSISSIPPI","R","Y",0.377,781,"24","82",590,5751,2501,2831,419
"104",1999,"MISSISSIPPI","R","N",1,2071,"64","217",1565,15252,6633,7508,1111
"105",1999,"MISSOURI","M","Y",0.965,22882,"300","6729",14791,182026,32400,128713,20913
"106",1999,"MISSOURI","M","N",1,23169,"303","6779",15002,185536,33013,131328,21195
"107",1999,"MISSOURI","O","Y",0.885,2056,"6","272",1626,21394,3617,16872,905
"108",1999,"MISSOURI","O","N",1,2325,"7","308",1838,24187,4089,19075,1023
"109",1999,"MISSOURI","R","Y",0.511,950,"25","32",800,6787,2745,3651,391
"110",1999,"MISSOURI","R","N",1,1859,"49","62",1566,13287,5374,7147,766
"111",1999,"NEBRASKA","M","Y",1,6127,"45","1175",4616,40648,6481,29629,4538
"112",1999,"NEBRASKA","O","Y",0.991,759,"6","75",585,15028,2137,12287,604
"113",1999,"NEBRASKA","O","N",1,766,"6","76",590,15157,2155,12393,609
"114",1999,"NEBRASKA","R","Y",0.982,269,"9","13",219,5372,1494,3590,288
"115",1999,"NEBRASKA","R","N",1,274,"9","13",223,5472,1522,3657,293
"116",1999,"NEVADA","M","Y",1,9553,"147","4153",4389,67992,16177,39055,12760
"117",1999,"NEVADA","O","Y",1,141,"7","19",99,1990,425,1468,97
"118",1999,"NEVADA","R","Y",1,617,"11","37",506,3892,1011,2644,237
"119",1999,"NEW JERSEY","M","Y",1,33540,"287","14243",17601,243333,46998,160978,35357
"120",1999,"NEW MEXICO","M","Y",0.949,8409,"95","2138",5697,58307,13301,38793,6213
"121",1999,"NEW MEXICO","M","N",1,8705,"99","2176",5932,59926,13798,39765,6363
"122",1999,"NEW MEXICO","O","Y",0.78,3147,"29","251",2641,17714,4278,12597,839
"123",1999,"NEW MEXICO","O","N",1,4034,"37","322",3385,22702,5483,16144,1075
"124",1999,"NEW MEXICO","R","Y",0.742,1322,"25","60",1121,4894,1633,2750,511
"125",1999,"NEW MEXICO","R","N",1,1781,"34","81",1510,6592,2200,3704,688
"126",1999,"NEW YORK","M","Y",0.86,99836,"851","43097",52934,416924,77025,284427,55472
"127",1999,"NEW YORK","M","N",1,103653,"880","43542",55950,458466,85770,315366,57330
"128",1999,"NEW YORK","O","Y",0.959,1569,"3","208",1220,16855,2980,13401,474
"129",1999,"NEW YORK","O","N",1,1636,"3","217",1272,17569,3106,13969,494
"130",1999,"NEW YORK","R","Y",1,1858,"20","62",1638,13561,4341,8783,437
"131",1999,"NORTH CAROLINA","M","Y",0.992,31016,"357","9847",19258,259337,67172,172214,19951
"132",1999,"NORTH CAROLINA","M","N",1,31222,"359","9901",19398,261866,67699,174085,20082
"133",1999,"NORTH CAROLINA","O","Y",0.962,5371,"69","1458",3614,49239,12345,34479,2415
"134",1999,"NORTH CAROLINA","O","N",1,5585,"72","1516",3758,51200,12837,35852,2511
"135",1999,"NORTH CAROLINA","R","Y",0.965,4505,"117","647",3401,39981,17294,19807,2880
"136",1999,"NORTH CAROLINA","R","N",1,4667,"121","670",3524,41431,17921,20526,2984
"137",1999,"NORTH DAKOTA","M","Y",0.994,265,"6","41",127,8808,1267,6926,615
"138",1999,"NORTH DAKOTA","M","N",1,266,"6","41",128,8866,1272,6975,619
"139",1999,"NORTH DAKOTA","O","Y",0.902,95,"2","13",54,3420,426,2745,249
"140",1999,"NORTH DAKOTA","O","N",1,105,"2","14",60,3792,472,3044,276
"141",1999,"NORTH DAKOTA","R","Y",0.877,47,"2","1",25,1833,520,1189,124
"142",1999,"NORTH DAKOTA","R","N",1,53,"2","1",28,2090,593,1356,141
"143",1999,"OHIO","M","Y",0.781,29784,"348","12924",13313,302298,65680,203657,32961
"144",1999,"OHIO","M","N",1,32770,"377","13900",14817,359296,75336,247524,36436
"145",1999,"OHIO","O","Y",0.631,1020,"5","246",618,21511,3479,17122,910
"146",1999,"OHIO","O","N",1,1616,"8","390",979,34087,5513,27132,1442
"147",1999,"OHIO","R","Y",0.658,810,"8","76",585,13744,4064,8815,865
"148",1999,"OHIO","R","N",1,1230,"12","115",889,20881,6174,13393,1314
"149",1999,"OKLAHOMA","M","Y",0.999,12203,"149","2448",8618,101606,23385,68569,9652
"150",1999,"OKLAHOMA","M","N",1,12205,"149","2448",8620,101642,23392,68595,9655
"151",1999,"OKLAHOMA","O","Y",1,3233,"26","299",2647,29962,7533,20791,1638
"152",1999,"OKLAHOMA","R","Y",1,1628,"56","38",1408,8616,3547,4230,839
"153",1999,"OREGON","M","Y",0.998,10508,"62","2529",6940,117123,19749,85937,11437
"154",1999,"OREGON","M","N",1,10517,"62","2532",6945,117307,19777,86078,11452
"155",1999,"OREGON","O","Y",0.988,1096,"6","250",711,25381,3997,20014,1370
"156",1999,"OREGON","O","N",1,1110,"6","253",720,25700,4047,20266,1387
"157",1999,"OREGON","R","Y",1,805,"20","73",602,10427,2925,6708,794
"158",1999,"PENNSYLVANIA","M","Y",0.952,45495,"544","18049",24238,277332,46650,194610,36072
"159",1999,"PENNSYLVANIA","M","N",1,46750,"553","18350",25099,289760,48401,204224,37135
"160",1999,"PENNSYLVANIA","O","Y",0.789,1778,"16","179",1387,14786,2250,11722,814
"161",1999,"PENNSYLVANIA","O","N",1,2252,"20","227",1757,18729,2850,14848,1031
"162",1999,"PENNSYLVANIA","R","Y",1,1429,"19","93",1034,14532,4786,8678,1068
"163",1999,"PUERTO RICO","M","Y",1,12649,"522","9034",2902,59523,19169,26833,13521
"164",1999,"PUERTO RICO","O","Y",1,1531,"45","793",661,8151,3864,3373,914
"165",1999,"RHODE ISLAND","M","Y",1,2585,"33","749",1458,30146,5848,20365,3933
"166",1999,"RHODE ISLAND","O","Y",1,214,"1","30",152,2495,491,1907,97
"167",1999,"RHODE ISLAND","R","Y",1,41,"2","9",15,16,2,12,2
"168",1999,"SOUTH CAROLINA","M","Y",0.992,22232,"166","4367",16548,126706,27323,88395,10988
"169",1999,"SOUTH CAROLINA","M","N",1,22376,"166","4396",16656,127865,27513,89294,11058
"170",1999,"SOUTH CAROLINA","O","Y",0.979,4202,"25","629",3406,18052,3772,13128,1152
"171",1999,"SOUTH CAROLINA","O","N",1,4294,"26","643",3480,18444,3854,13413,1177
"172",1999,"SOUTH CAROLINA","R","Y",1,6250,"66","721",5179,27678,8263,17205,2210
"173",1999,"SOUTH DAKOTA","M","Y",0.934,708,"8","81",445,9549,1516,7561,472
"174",1999,"SOUTH DAKOTA","M","N",1,742,"8","83",462,10301,1608,8200,493
"175",1999,"SOUTH DAKOTA","O","Y",0.789,231,"1","10",153,4470,760,3536,174
"176",1999,"SOUTH DAKOTA","O","N",1,293,"1","13",194,5668,964,4483,221
"177",1999,"SOUTH DAKOTA","R","Y",0.551,106,"5","4",63,1206,376,749,81
"178",1999,"SOUTH DAKOTA","R","N",1,192,"9","7",114,2190,683,1360,147
"179",1999,"TENNESSEE","M","Y",0.954,30353,"303","7901",20198,166153,37880,107630,20643
"180",1999,"TENNESSEE","M","N",1,30944,"306","7948",20697,169799,38881,109969,20949
"181",1999,"TENNESSEE","O","Y",0.968,3977,"43","495",3222,29888,5973,21623,2292
"182",1999,"TENNESSEE","O","N",1,4107,"44","511",3328,30872,6170,22335,2367
"183",1999,"TENNESSEE","R","Y",0.961,2941,"39","134",2578,17911,6067,9980,1864
"184",1999,"TENNESSEE","R","N",1,3060,"41","139",2682,18631,6311,10381,1939
"185",1999,"TEXAS","M","Y",0.999,102070,"1080","28581",65681,813686,167382,558725,87579
"186",1999,"TEXAS","M","N",1,102159,"1081","28596",65747,814474,167573,559261,87640
"187",1999,"TEXAS","O","Y",0.996,6289,"51","635",5076,56176,12687,40892,2597
"188",1999,"TEXAS","O","N",1,6305,"51","636",5089,56292,12718,40971,2603
"189",1999,"TEXAS","R","Y",0.994,3820,"85","172",3215,25349,10013,13552,1784
"190",1999,"TEXAS","R","N",1,3842,"85","173",3234,25495,10071,13630,1794
"191",1999,"UTAH","M","Y",0.984,5020,"42","1096",3208,84855,11998,66285,6572
"192",1999,"UTAH","M","N",1,5095,"42","1105",3262,86189,12187,67333,6669
"193",1999,"UTAH","O","Y",0.973,465,"1","35",353,8874,1297,7181,396
"194",1999,"UTAH","O","N",1,478,"1","36",363,9119,1333,7379,407
"195",1999,"UTAH","R","Y",0.947,280,"1","16",223,4565,1015,3260,290
"196",1999,"UTAH","R","N",1,296,"1","17",236,4822,1072,3444,306
"197",1999,"VERMONT","M","Y",1,285,"10","34",211,5262,997,4003,262
"198",1999,"VERMONT","O","Y",0.94,239,"2","21",150,6264,955,5028,281
"199",1999,"VERMONT","O","N",1,254,"2","22",160,6663,1016,5348,299
"200",1999,"VERMONT","R","Y",0.973,134,"5","9",85,4020,1482,2197,341
"201",1999,"VERMONT","R","N",1,137,"5","9",87,4134,1524,2259,351
"202",1999,"VIRGINIA","M","Y",0.999,17922,"325","6523",9703,180109,26358,137740,16011
"203",1999,"VIRGINIA","M","N",1,17937,"325","6528",9712,180265,26378,137862,16025
"204",1999,"VIRGINIA","O","Y",0.985,1360,"19","211",1007,14304,1933,11690,681
"205",1999,"VIRGINIA","O","N",1,1380,"19","214",1022,14514,1961,11862,691
