"","X.2","X.1","X","State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"12",12,12,13,"HAWAII",262.735967995319,1.7643153978421,26.8322966755152,77.4828512218987,156.656504700063,3314.1929617048,636.84434547942,2302.43159418393,374.917022041445
"13",13,13,14,"IDAHO",221.547158940358,1.34986592439401,33.5793845154461,13.7595254944751,172.858383006042,2000.21237239158,415.122518443999,1500.56620076442,84.5236531831588
"14",14,14,15,"ILLINOIS",468.13683082905,6.00620268098311,23.0183210990624,173.225186498692,265.887120550312,2785.62428606424,613.504420515502,1927.59901520726,244.520850341475
"15",15,15,16,"INDIANA",336.383778259728,4.83901596643038,28.5098581501507,104.483049742643,198.551854400504,3178.59993779994,762.187527858273,2203.10884635425,213.303563587409
"16",16,16,17,"IOWA",274.889668241735,1.28045229522467,27.5558895789092,33.5170588203785,212.536267547223,2252.18506851979,548.775966475932,1578.83468718051,124.574414863345
"17",17,17,18,"KANSAS",369.721800420766,3.52559923511366,38.8360240724408,54.2540555079293,273.106121605283,3123.84062517186,681.235800737128,2231.55983665658,211.044987778151
"18",18,18,19,"KENTUCKY",242.890143366238,4.32434513864496,31.7844981403078,86.4524850351775,120.328815052108,2549.21719842352,698.570899131228,1707.50933459576,143.136964696533
"19",19,19,20,"LOUISIANA",549.579637450534,11.4056079585228,27.1781041565144,115.90946246849,395.086462867007,3642.15155725444,1004.14036758574,2418.45035885768,219.56083081102
"20",20,20,21,"MAINE",122.03008067837,1.80673777685433,29.2842081331807,31.1662266507373,59.7729081175976,2479.29591428836,553.99097082796,1850.77701016516,74.5279332952413
"21",21,21,22,"MARYLAND",547.669788026504,7.44775486563557,21.2520819072903,191.459261127292,327.510690126286,2997.30564477466,632.920600697803,2051.73522296153,312.64982111532
"22",22,22,23,"MASSACHUSETTS",467.720381808805,3.23611800560297,26.6908920048373,105.382366926407,332.411004871957,2352.23299005857,577.150261893147,1599.86044317773,175.222284987693
"23",23,23,24,"MICHIGAN",493.783461096554,5.79888693743306,47.4950544857875,117.226624350156,323.262895323177,2719.27043079603,750.794342214461,1690.23233614424,278.243752437331
"24",24,24,25,"MINNESOTA",NA,1.8183288351032,NA,64.0266569061347,136.555169282005,2571.39879761297,460.534533122956,1948.79682052094,162.06744396908
"25",25,25,26,"MISSISSIPPI",276.909278942093,7.13532191244536,31.6188944208456,98.6108038016995,139.544258807102,3051.7940279297,1046.20068928311,1819.49476423653,186.098574410056
"26",26,26,27,"MISSOURI",455.345581891837,7.03087514936141,23.9319141629352,102.475610170337,321.907182409204,3347.84294952565,735.757246863991,2343.92373892002,268.161963741642
"27",27,27,28,"MONTANA",272.225275149594,2.65865453830491,32.4568038968287,15.8633439337828,221.246472780677,2544.16978408108,369.418787741809,2020.46000887469,154.29098746458
"28",28,28,29,"NEBRASKA",282.247153312703,2.96130641363793,37.116723270804,57.0505400918983,185.118583536363,2692.01381823113,457.939287144437,2034.21921653408,199.855314552618
"29",29,29,30,"NEVADA",660.642957677896,5.8506578842614,35.7334484703307,196.182186524157,422.876664799147,2774.69301635111,823.01722870629,1574.53053099164,377.145256653179
"30",30,30,31,"NEW HAMPSHIRE",206.237026804342,1.08425726945414,38.511394205637,38.0030556854567,128.638319643794,2433.54052863356,434.892321660659,1919.50115715989,79.1470498130116
"31",31,31,32,"NEW JERSEY",307.726640016361,4.21979609854259,11.1580053171706,134.419273025812,157.929565574835,2081.94047835427,440.542163042457,1464.46260612332,176.935709188487
"32",32,32,33,"NEW MEXICO",589.08793030436,6.91527971721404,46.5914027084221,78.5578467600404,457.023401118684,3436.55612722329,1021.12465476569,2160.43119585364,255.000276603968
"33",33,33,34,"NEW YORK",393.023822521196,4.48315515401578,14.3246355328962,147.308588490713,226.907443343571,1941.8510285486,335.488516705956,1500.71238317426,105.650128668385
"34",34,34,35,"NORTH CAROLINA",366.033395532842,5.02075655766423,21.2142847497856,102.021578084094,237.776776141298,3459.14942388814,1080.09708887584,2186.00481678521,193.047518227089
"35",35,35,36,"NORTH DAKOTA",224.925972610843,1.53578210065639,35.1862149975096,13.4512109646844,174.752764547992,1768.49507915719,292.321022094367,1348.48351898273,127.690538080091
"36",36,36,37,"OHIO",323.215172114687,4.30237456835687,32.5103947965648,147.217373617519,139.185029132246,3274.78512348368,940.647735259959,2146.58731659419,187.550071629525
"37",37,37,38,"OKLAHOMA",479.448727469837,5.20414056304978,38.6524192326406,88.9387270555998,346.653440618546,3415.10246208733,998.904552290086,2144.59073227667,271.607177520577
"38",38,38,39,"OREGON",255.131495894399,2.38116206441717,31.9401265155956,63.6649085616671,157.145298752719,3048.54572209001,515.954652050749,2296.29130455537,236.299765483893
"39",39,39,40,"PENNSYLVANIA",367.293794093801,5.20311336848012,26.9655752553787,129.366754551352,205.75835091859,2175.23559233834,435.144418820198,1608.42750965564,131.663663862501
"40",40,40,1,"PUERTO RICO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,41,41,"RHODE ISLAND",256.610743069087,2.75516902961997,28.1217252678452,74.1045463139164,151.629302457706,2556.60684783011,581.530676907028,1747.15718809349,227.918982829597
"42",42,42,42,"SOUTH CAROLINA",597.661381589243,6.06802029560861,31.6933769463498,107.717582224468,452.182402122817,3899.14269905182,997.841007403912,2615.96834104788,285.333350600034
"43",43,43,43,"SOUTH DAKOTA",270.955677221737,2.77740396962732,48.4153631104878,19.4098113252993,200.353098816322,1869.7575376585,394.103098159568,1377.17339381626,98.4810456826721
"44",44,44,44,"TENNESSEE",613.30532665312,5.62549784474099,33.6899562802695,131.828893470877,442.160979057233,3657.86573023926,1012.19566962728,2411.90462496287,233.765435649111
"45",45,45,45,"TEXAS",450.731577643526,4.97360997167286,30.3247284113852,130.772822591995,284.660416668474,3784.85586078199,909.692463089088,2604.43162415316,270.731773539733
"46",46,46,46,"UTAH",212.940676467013,1.91207243129385,34.3596498448573,45.9468875209443,130.722066669918,3182.14299355739,543.758113770245,2422.98012851041,215.404751276735
"47",47,47,47,"VERMONT",130.318967431426,1.13414974553774,21.1298551457412,11.8468780553347,96.208084484812,2282.37063875561,537.869678791703,1674.07030261274,70.4306573511661
"48",48,48,48,"VIRGINIA",213.56016429897,4.61190967556153,19.1475491137134,70.7034499584053,119.097255551289,2327.15212452806,382.813499872016,1812.50549929609,131.833125359954
"49",49,49,49,"WASHINGTON",314.044494106641,2.26346268874503,38.1320182788201,88.237597939713,185.411415199363,3709.302325301,820.937668068731,2505.45759289655,382.907064335715
"50",50,50,50,"WEST VIRGINIA",317.177434989321,3.36264559126933,19.2586389665227,45.7981677480856,248.757982683444,2236.19817923515,583.654790023363,1524.53002575666,128.013363455127
"51",51,51,51,"WISCONSIN",248.899319512043,2.73317552032397,20.8785443532626,79.2878645732908,145.999735065166,2509.69445900973,467.485334760706,1898.9874241565,143.221700092518
"52",52,52,52,"WYOMING",195.90911336355,1.43312621621079,29.0414237970782,13.5528452975734,151.881718052688,2461.56844349829,381.340525934099,1975.43698349604,104.790934068153
