"","X.2","X.1","X","State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"42",42,42,42,"SOUTH CAROLINA",498.186350850868,6.45530124032519,42.9091174117883,30.6997149212267,82.9481141360841,365.87381806267,3465.65634393407,759.999353217213,2438.34308244463,267.313908272226
"43",43,43,43,"SOUTH DAKOTA",326.395708713101,2.39534436376592,54.5096879233603,48.3482349840157,23.5317668034639,245.958909622511,1867.26711516396,330.901176066129,1417.98875873184,118.377180365996
"44",44,44,44,"TENNESSEE",609.9054859604,5.67881453493291,38.6908813585288,28.4533041170107,111.342085608836,454.193704458102,3063.55280862683,713.722413438058,2157.05469224691,192.775702941861
"45",45,45,45,"TEXAS",406.326321295652,4.40178509200807,42.2477481861573,30.5216592505691,115.865960339985,243.810827677502,3022.29652406108,628.3207806259,2139.39833245603,254.577410979145
"46",46,46,46,"UTAH",215.678502798687,2.29224967763549,49.382232690996,32.0533225471138,44.5942717367353,119.40974869332,2877.96638213897,391.316132308827,2238.66962075986,247.980629070284
"47",47,47,47,"VERMONT",99.313437498645,1.59617100957304,17.5636324971906,15.80706155832,11.1781496544696,68.9754843374118,1524.11725248891,324.569097172607,1160.59621471696,38.9519405993434
"48",48,48,48,"VIRGINIA",196.420845555887,4.06521864270316,27.7839290758798,17.2233192589535,51.5948905878477,112.976807249457,1931.77507301815,277.91046203241,1561.74152644083,92.1230845449109
"49",49,49,49,"WASHINGTON",285.318419020516,2.46864276344023,38.1991223930699,30.7631055203293,79.9108490589421,164.739804805064,3707.57305905754,783.356033498479,2490.02943955701,434.187586002052
"50",50,50,50,"WEST VIRGINIA",304.432213277864,4.08469719990459,28.0575129474093,15.491655558803,35.7906396606043,236.499363469946,2027.57967580126,491.78303206119,1432.7075857514,103.089057988675
"51",51,51,51,"WISCONSIN",296.13020206474,2.92485740584723,29.3150601411508,20.4124496478284,90.1512018595093,173.739082658233,2099.10149150921,372.40102877861,1550.72713046077,175.973332269829
"52",52,52,52,"WYOMING",195.550243097392,2.82759187164883,29.7185419831418,21.5276988068914,9.23167661671233,153.772432625889,1964.60467944602,289.088677879216,1572.3774613799,103.138540186909
