State,Area,Actual,Percentage,ViolentCrime,PropertyCrime,Murderandnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Burglary,Larcenytheft,Motorvehicletheft
PENNSYLVANIA,M,N,1,45463,264583,622,2996,17441,24404,45786,187517,31280
PENNSYLVANIA,O,Y,0.73900000000000000,1763,15180,9,173,274,1307,2352,12068,760
PENNSYLVANIA,O,N,1,2386,20543,12,234,371,1769,3183,16331,1029
PENNSYLVANIA,R,Y,1,1367,15515,17,326,168,856,4950,9432,1133
PUERTO RICO,M,Y,1,11614,68252,756,200,7636,3022,19969,36220,12063
PUERTO RICO,O,Y,1,271,1643,23,4,101,143,888,607,148
RHODE ISLAND,M,Y,1,3050,32184,23,491,828,1708,5521,22285,4378
RHODE ISLAND,R,Y,1,24,47,2,14,2,6,3,35,9
SOUTH CAROLINA,M,Y,0.999,24873,143710,223,1445,4581,18624,32333,98452,12925
SOUTH CAROLINA,M,N,1,24880,143772,223,1445,4582,18630,32343,98500,12929
SOUTH CAROLINA,O,Y,0.995,3275,16812,27,114,518,2616,3547,12461,804
SOUTH CAROLINA,O,N,1,3292,16896,27,115,521,2629,3565,12523,808
SOUTH CAROLINA,R,Y,1,4736,25003,50,283,567,3836,7674,15304,2025
SOUTH DAKOTA,M,Y,0.97100000000000000,846,8996,6,240,81,519,1562,6910,524
SOUTH DAKOTA,M,N,1,864,9185,6,247,81,530,1593,7057,535
SOUTH DAKOTA,O,Y,0.91100000000000000,267,4343,1,64,10,192,759,3372,212
SOUTH DAKOTA,O,N,1,293,4770,1,70,11,211,834,3703,233
SOUTH DAKOTA,R,Y,0.83800000000000000,140,1127,2,31,10,97,374,664,89
SOUTH DAKOTA,R,N,1,168,1344,3,37,12,116,446,792,106
TENNESSEE,M,Y,1,33347,205209,337,1770,8796,22444,48498,134118,22593
TENNESSEE,O,Y,1,3576,29700,29,172,461,2914,6595,21328,1777
TENNESSEE,R,Y,1,3254,20924,29,143,115,2967,8114,10770,2040
TEXAS,M,Y,0.999,112887,933337,1287,7172,36079,68349,196088,643619,93630
TEXAS,M,N,1,112910,933649,1287,7174,36085,68364,196149,643847,93653
TEXAS,O,Y,0.99300000000000000,5889,55776,62,554,769,4504,12868,40288,2620
TEXAS,O,N,1,5918,56063,62,556,770,4530,12937,40497,2629
TEXAS,R,Y,1,3373,26710,69,282,163,2859,10699,14089,1922
UTAH,M,Y,0.98100000000000000,5317,90781,52,785,1212,3268,15082,68451,7248
UTAH,M,N,1,5401,92168,53,802,1223,3323,15325,69488,7355
UTAH,O,Y,0.91900000000000000,226,4173,3,50,16,157,719,3237,217
UTAH,O,N,1,245,4539,3,54,17,171,782,3521,236
UTAH,R,Y,0.94300000000000000,188,2504,2,34,14,138,624,1717,163
UTAH,R,N,1,199,2655,2,36,15,146,662,1820,173
VERMONT,M,Y,0.96400000000000000,344,5334,4,55,34,251,1153,3944,237
VERMONT,M,N,1,352,5521,4,55,35,258,1189,4089,243
VERMONT,O,Y,1,225,5215,1,46,19,159,792,4227,196
VERMONT,R,Y,1,105,2885,9,20,6,70,977,1701,207
VIRGINIA,M,Y,0.99200000000000000,18115,177667,373,1498,6306,9938,24735,136521,16411
VIRGINIA,M,N,1,18324,179518,375,1516,6363,10070,24986,137964,16568
VIRGINIA,O,Y,0.96600000000000000,754,8099,5,79,149,521,979,6684,436
VIRGINIA,O,N,1,780,8383,5,82,154,539,1013,6919,451
VIRGINIA,R,Y,0.97600000000000000,1240,11543,32,171,151,886,2849,7821,873
VIRGINIA,R,N,1,1271,11830,33,175,155,908,2920,8015,895
WASHINGTON,M,Y,0.999,19625,261672,167,2461,5518,11479,51146,171859,38667
WASHINGTON,M,N,1,19643,261989,167,2464,5523,11489,51198,172079,38712
WASHINGTON,O,Y,0.95700000000000000,841,17777,3,215,130,493,3231,13575,971
WASHINGTON,O,N,1,879,18570,3,225,136,515,3375,14181,1014
WASHINGTON,R,Y,0.88200000000000000,664,9683,12,154,52,446,3257,5639,787
WASHINGTON,R,N,1,754,10985,14,175,59,506,3695,6397,893
WEST VIRGINIA,M,Y,0.91700000000000000,2866,26729,29,182,563,2092,6141,18295,2293
WEST VIRGINIA,M,N,1,3041,28672,30,187,586,2238,6488,19768,2416
WEST VIRGINIA,O,Y,0.82300000000000000,473,4198,3,32,58,380,830,3167,201
WEST VIRGINIA,O,N,1,575,5100,4,39,70,462,1008,3848,244
WEST VIRGINIA,R,Y,0.86100000000000000,900,7702,25,60,64,751,2310,4648,744
WEST VIRGINIA,R,N,1,1045,8942,29,70,74,872,2682,5396,864
WISCONSIN,M,Y,0.97200000000000000,10340,124460,159,937,4248,4996,19927,93776,10757
WISCONSIN,M,N,1,10432,126387,160,952,4266,5054,20270,95261,10856
WISCONSIN,O,Y,0.99000000000000000,980,19669,4,144,86,746,2523,16437,709
WISCONSIN,O,N,1,989,19862,4,145,87,753,2548,16598,716
WISCONSIN,R,Y,1,674,11498,17,101,33,523,3744,7006,748
WYOMING,M,Y,1,338,6529,6,51,46,235,1052,5106,371
WYOMING,O,Y,0.97500000000000000,612,7666,4,59,29,520,1039,6319,308
WYOMING,O,N,1,627,7859,4,60,30,533,1065,6478,316
WYOMING,R,Y,0.95800000000000000,335,2164,4,24,8,299,473,1585,106
WYOMING,R,N,1,349,2260,4,25,8,312,494,1655,111
