"State","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"OKLAHOMA",4558.6,497.8,4060.8,"5.2999999999999998",41.2,"75.799999999999997",375.5,917.5,2785.4,357.8
"OREGON",4845.4,350.7,4494.7,"2",37.6,"84.400000000000006",226.7,748.8,3338.7,407.2
"PENNSYLVANIA",2995.3,420,2575.3,"4.9000000000000004",26.4,"147.80000000000001",240.9,440.4,1839.2,295.8
"PUERTO RICO",1979.1,325.7,1653.4,"18.199999999999999",6,"229.90000000000001",71.6,552.9,759.9,340.7
"RHODE ISLAND",3476.4,297.7,3178.7,"4.2999999999999998",39.3,"88",166.2,631.5,2102.2,445
"SOUTH CAROLINA",5221.4,804.9,4416.5,"5.7999999999999998",37.7,"146.59999999999999",614.8,969.3,3068.1,379
"SOUTH DAKOTA",2319.8,166.8,2153,"0.90000000000000002",40.4,"17.399999999999999",108.1,383.7,1663.7,105.7
"TENNESSEE",4890.2,707.2,4183,"7.2000000000000002",38.4,"166.40000000000001",495.2,990.4,2708.8,483.9
"TEXAS",4955.5,545.1,4410.4,"5.9000000000000004",37.7,"145.09999999999999",356.3,906.3,3057.4,446.8
"UTAH",4476.1,255.7,4220.3,"1.8999999999999999",38.6,"55.600000000000001",159.5,642.5,3288.5,289.3
"VERMONT",2986.9,113.5,2873.4,"1.5",23,"19.199999999999999",69.8,575,2165.5,132.9
"VIRGINIA",3028.1,281.7,2746.4,"5.7000000000000002",22.8,"88.900000000000006",164.3,429.9,2064.8,251.6
"WASHINGTON",5105.6,369.7,4736,"3.2999999999999998",46.4,"98.599999999999994",221.3,907.3,3234.6,594.1
"WEST VIRGINIA",2602.8,316.5,2286.3,"2.5",18.3,"41.399999999999999",254.2,546.9,1556.1,183.3
"WISCONSIN",3209.1,236.8,2972.3,"3.2000000000000002",21.7,"84.599999999999994",127.3,469.5,2229.9,272.9
"WYOMING",3298,266.5,3031.5,"2.3999999999999999",32.4,"14.199999999999999",217.5,420.8,2494.6,116
