"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"OREGON",255.97756762381,2.0582635110869,48.684205590251,37.177391341272,61.0232706259983,142.838827424012,3174.13504557028,528.597014883164,2394.44261144592,251.0954192412
"PENNSYLVANIA ",337.704333165938,4.67757814251328,29.6335089576924,20.780080530843,115.994994110102,186.11472677203,2063.22546118099,408.148521933765,1546.95549815379,108.121441093437
"PUERTO RICO",258.029822803662,24.4254216912129,0.940503213478186,0.719208339718613,166.413745067199,66.2501528317722,1351.30948475361,386.187216569675,812.152186697633,152.970081486305
"RHODE ISLAND",257.248854267811,2.94813844077713,41.8445456110302,29.1960806876961,65.049248177147,147.406922038856,2442.00964136371,533.23265282056,1696.41591956718,212.361068975978
"SOUTH CAROLINA",510.634139062113,6.22976392499152,45.5470421437705,31.9216791574921,83.2618000697036,373.792463557309,3624.66272001932,858.356657968914,2502.55677415479,263.749287895607
"SOUTH DAKOTA",330.137784600069,2.37128526072028,59.2555323407445,42.8378543892053,18.9810683813779,236.677974751813,1918.10263278241,399.767604776313,1407.18192053749,111.153107468612
"TENNESSEE",593.605534216045,5.05934477520163,36.2532945188131,25.4068059211228,112.921753020106,437.760487330748,3183.50528306748,786.599275665223,2214.45880111102,182.447206291243
"TEXAS",409.505814741635,4.31140414361141,37.0538863889054,28.3669562839967,120.309888705481,246.945488519383,3258.47603795266,721.91862312449,2287.90481568671,248.65259914146
"UTAH",225.333292703317,1.7059850479545,49.0685138173861,34.4861129810927,42.8616989602362,130.456904986702,2949.40379230754,459.504519294335,2232.58862367289,257.31064934031
"VERMONT",121.177462670848,1.59599779790323,20.7537221405054,14.5275575752891,11.6542503597065,87.1734923727328,2214.13121146616,528.717121762459,1632.08881766883,53.3252720348774
"VIRGINIA",196.351964189013,3.82876228552076,27.3944060719649,19.155481121329,55.3037691894685,109.764436331959,2067.02614134211,322.677525744446,1640.95548061588,103.39313498178
"WASHINGTON",289.272101742472,2.29712611530034,36.9089538367493,25.7989230198729,83.4742460904684,166.402651953919,3710.25237365737,837.018434256389,2465.88009914477,407.353840256211
"WEST VIRGINIA",340.806115673214,3.36268097012177,35.7479895991646,27.6562634777568,35.4749798607351,227.397241166407,2105.36726864515,529.131661882288,1471.92552443713,104.310082325731
"WISCONSIN",283.467423042575,2.87582974724876,29.9746666805697,22.6756568802214,85.4458575150369,163.355748447652,2197.74403048059,426.746614344469,1640.87379634828,130.123619787842
"WYOMING",211.010549594414,2.87626246012421,33.1913779333271,24.835629819347,12.9431337327938,157.301120523656,2198.56355775544,335.716076134418,1763.79470802355,99.0527735974692
