"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"NEVADA","R","Y","1",4914,690,4224,"6",73,"47",564,1180,2761,283
"NEW HAMPSHIRE","M","Y","0.73799999999999999",15892,1260,14632,"12",243,"366",639,2503,10748,1381
"NEW HAMPSHIRE","M","N","1",19452,1482,17970,"12",315,"399",756,3077,13226,1667
"NEW HAMPSHIRE","O","Y","0.628",6227,363,5864,"1",104,"32",226,1049,4533,282
"NEW HAMPSHIRE","O","N","1",9916,579,9337,"2",166,"51",360,1670,7218,449
"NEW HAMPSHIRE","R","Y","0.72299999999999998",506,77,429,"6",30,"2",39,177,229,23
"NEW HAMPSHIRE","R","N","1",700,106,594,"8",41,"3",54,245,317,32
"NEW JERSEY","M","Y","1",265935,32298,233637,"289",1357,"13553",17099,43924,155562,34151
"NEW MEXICO","M","Y","0.90400000000000003",63650,7902,55748,"68",452,"1987",5395,13129,36811,5808
"NEW MEXICO","M","N","1",67070,8464,58606,"76",487,"2067",5834,14055,38427,6124
"NEW MEXICO","O","Y","0.84899999999999998",23712,3555,20157,"33",273,"320",2929,4865,14455,837
"NEW MEXICO","O","N","1",27914,4185,23729,"39",321,"377",3448,5727,17017,985
"NEW MEXICO","R","Y","0.879",4751,999,3752,"18",100,"48",833,1368,2180,204
"NEW MEXICO","R","N","1",5407,1137,4270,"20",114,"55",948,1557,2481,232
"NEW YORK","M","Y","0.84299999999999997",500024,97093,402931,"887",2887,"39656",53663,71216,280647,51068
"NEW YORK","M","N","1",554374,101681,452693,"927",3291,"40240",57223,80875,318500,53318
"NEW YORK","O","Y","0.95399999999999996",17903,1559,16344,"7",119,"210",1223,2851,13050,443
"NEW YORK","O","N","1",18776,1635,17141,"7",125,"220",1283,2990,13686,465
"NEW YORK","R","Y","1",15039,1795,13244,"18",114,"79",1584,4081,8715,448
"NORTH CAROLINA","M","Y","0.97499999999999998",284891,29747,255144,"359",1492,"10270",17626,65064,170778,19302
"NORTH CAROLINA","M","N","1",289810,30113,259697,"363",1516,"10357",17877,66310,173829,19558
"NORTH CAROLINA","O","Y","0.95099999999999996",54211,5150,49061,"70",266,"1446",3368,12187,34484,2390
"NORTH CAROLINA","O","N","1",56996,5415,51581,"74",280,"1520",3541,12813,36255,2513
"NORTH CAROLINA","R","Y","0.99299999999999999",48817,4491,44326,"122",382,"713",3274,18632,22522,3172
"NORTH CAROLINA","R","N","1",49166,4523,44643,"123",385,"718",3297,18765,22683,3195
"NORTH DAKOTA","M","Y","0.98999999999999999",8624,298,8326,"2",102,"40",154,1044,6701,581
"NORTH DAKOTA","M","N","1",8721,300,8421,"2",103,"40",155,1053,6782,586
"NORTH DAKOTA","O","Y","0.878",3572,138,3434,"2",41,"14",81,449,2763,222
"NORTH DAKOTA","O","N","1",4067,157,3910,"2",47,"16",92,511,3146,253
"NORTH DAKOTA","R","Y","0.85299999999999998",1625,56,1569,"--",16,"--",40,451,993,125
"NORTH DAKOTA","R","N","1",1906,66,1840,"--",19,"--",47,529,1164,147
"OHIO","M","Y","0.76900000000000002",336161,32048,304113,"335",3298,"13939",14476,66109,205378,32626
"OHIO","M","N","1",396514,35108,361406,"361",3795,"14990",15962,76019,249324,36063
"OHIO","O","Y","0.60599999999999998",23546,1146,22400,"13",172,"313",648,3657,17848,895
